age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
25-34,Education,Student Services Professional III,56000.0,USD,USA,California,Sacramento,5 - 7 years,5 - 7 years,College degree,Woman,Black or African American
35-44,Insurance,Telephone Claims Adjuster,53000.0,USD,USA,Virginia,Waynesboro,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Group Product Manager,142000.0,USD,USA,New Jersey,Somerset,8 - 10 years,5 - 7 years,PhD,Woman,White
35-44,Education,Associate Executive Director,94500.0,USD,USA,Idaho,Boise,11 - 20 years,2 - 4 years,Master's degree,Woman,White
25-34,Education,Director,72500.0,USD,USA,Kentucky,Berea,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Project Accountant,58150.0,USD,USA,Virginia,Richmond,8 - 10 years,5 - 7 years,College degree,Woman,White
65 or over,Education,Registrar,80000.0,USD,USA,California,San Diego,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,"Director, Data Management (non-academic)",54000.0,USD,USA,North Carolina,Winston-Salem,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Director of Development,57500.0,USD,USA,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Director of Operations ,140000.0,USD,USA,Iowa,Davenport ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Teacher/department chair,61000.0,USD,USA,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Consultant,163000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Sales,HR Manager,57000.0,USD,USA,Pennsylvania,Horsham,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Education,High School Teacher,81000.0,USD,USA,New Jersey,"Warren, NJ",11 - 20 years,11 - 20 years,Master's degree,Woman,White
18-24,Hospitality/Events/Entertainment,Student supervisor/graduate assistant ,24000.0,USD,USA,New Hampshire,Durham,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Medical/Health Care,Chief Therapist  - Radiation Therapist,68600.0,USD,USA,Minnesota,Minneapolis,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Art/Design/Media,"Director, Software Engineering ",180000.0,USD,USA,New York,New York City,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Accounting/Banking/Finance,"Associate Manager, Accounting",101250.0,USD,USA,New Jersey,Newark,5 - 7 years,5 - 7 years,College degree,Woman,White
45-54,Education,History Teacher,56000.0,USD,USA,Utah,Sandy,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing/IT/Tech,Sr UX Researcher,150000.0,USD,USA,California,Los Angeles,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Nonprofits,Senior Systems Administrator,112000.0,USD,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing/IT/Tech,Senior Dat Scientist,125000.0,USD,USA,New York,New York City,5 - 7 years,2 - 4 years,College degree,Woman,Black or African American
35-44,Art/Design/Media,Executive Vice President/General Manager,260000.0,USD,USA,Ohio,Cincinnati ,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Loan Partner,42000.0,USD,USA,Florida,Orlando,5 - 7 years,1 year or less,College degree,Man,"Hispanic, Latino, or Spanish origin"
18-24,Medical/Health Care,Product manager,84500.0,USD,USA,California,San Diego ,2 - 4 years,1 year or less,College degree,Woman,White
35-44,Hospitality/Events/Entertainment,Broadway wardrobe - Dresser,71000.0,USD,USA,New York,New York City,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Insurance,Account executive ,90000.0,USD,USA,Colorado,Denver,11 - 20 years,8 - 10 years,College degree,Woman,Native American or Alaska Native
35-44,Sales,National Sales Coordinator,480000.0,USD,USA,Ohio,Cleveland ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Accountant - tax staff,56650.0,USD,USA,Michigan,Detroit,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Operations manager,92000.0,USD,USA,Virginia,Alexandria ,5 - 7 years,2 - 4 years,College degree,Woman,White
55-64,Education,Professor of CIS,64500.0,USD,USA,Illinois,Rural NW IL,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Marketing operations manager,134000.0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White
18-24,Art/Design/Media,User Experience Designer,103500.0,USD,USA,California,Redwood City,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofits,Executive Administrative Assistant,45000.0,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
25-34,Art/Design/Media,Editorial Assistant,65520.0,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Healthcare Recruiter,45000.0,USD,USA,Arizona,Phoenix,5 - 7 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Sales,Account manager ,70000.0,USD,USA,Massachusetts,Boston,2 - 4 years,1 year or less,College degree,Woman,White
35-44,Others/Not Correctly Specified,Detentions crew leader,41000.0,USD,USA,Colorado,Aurora,8 - 10 years,1 year or less,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Aerospace Engineer,108000.0,USD,USA,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Others/Not Correctly Specified,Lab Manager,100000.0,USD,USA,Texas,Midland,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Medical/Health Care,Occupational Therapist,98000.0,USD,USA,Colorado,Aurora,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Accountant ,95400.0,USD,USA,Nevada,Elko,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Chief Strategy Officer,125000.0,USD,USA,Illinois,NYC (remote),11 - 20 years,5 - 7 years,College degree,Non-binary,White
25-34,Business/Consulting/Administrative Work,Marketing & Communications Manager,43000.0,USD,USA,North Carolina,Greensboro,5 - 7 years,2 - 4 years,College degree,Woman,White
55-64,Government/Public Administration,Regional Director,64500.0,USD,USA,Montana,Missoula,31 - 40 years,11 - 20 years,College degree,Woman,White
18-24,Computing/IT/Tech,IT Intern,43680.0,USD,USA,Nebraska,Omaha,5 - 7 years,1 year or less,College degree,Man,White
18-24,Hospitality/Events/Entertainment,server,6000.0,USD,USA,Virginia,middleburg,1 year or less,8 - 10 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Sales Manager ,50000.0,USD,USA,Florida,Orlando ,8 - 10 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Social Work,Family Services Worker,51000.0,USD,USA,Alaska,Anchorage ,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,CCO,110000.0,USD,USA,New York,Rochester,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Academic librarian,78000.0,USD,USA,Michigan,Ann Arbor,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Business Analyst,124800.0,USD,USA,Washington,Bothell,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Director of product marketing,200000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,School Psychologist,48000.0,USD,USA,South Carolina,Charleston,5 - 7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Hospitality/Events/Entertainment,Assistant Theatre Manager,30000.0,USD,USA,Wisconsin,Racine,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Education,Extension outreach professional II,52000.0,USD,USA,Arizona,Tucson,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Art/Design/Media,Managing editor,87500.0,USD,USA,New York,New York City,21 - 30 years,11 - 20 years,College degree,Non-binary,White
35-44,Medical/Health Care,LPN,43000.0,USD,USA,Wisconsin,Racine,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Computing/IT/Tech,Helpdesk Manager,85000.0,USD,USA,Colorado,Denver,21 - 30 years,11 - 20 years,Master's degree,Man,White
25-34,Insurance,Executive Production Asisstant ,56000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Mechanical Engineer,97500.0,USD,USA,Alabama,Huntsville,8 - 10 years,5 - 7 years,College degree,Man,White
35-44,Accounting/Banking/Finance,Senior Financial Analyst,90000.0,USD,USA,Michigan,Grand Rapids,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Department research administrator,105000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Medical/Health Care,Office Manager,52000.0,USD,USA,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Medical/Health Care,Study Operations Manager,115000.0,USD,USA,Pennsylvania,"Lawrenceville, NJ",11 - 20 years,5 - 7 years,College degree,Woman,Asian or Asian American
35-44,Engineering/Manufacturing/Construction,Demand Planning Team Leader,110000.0,USD,USA,Georgia,Atlanta,21 - 30 years,5 - 7 years,Master's degree,Woman,White
35-44,Education,Coordinator,48000.0,USD,USA,Texas,Waco,8 - 10 years,5 - 7 years,High School,Woman,Another option not listed here or prefer not to answer
25-34,Retail,Cheesemonger,39000.0,USD,USA,Washington,Seattle,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Financial Analyst,76000.0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Assistant Director,53000.0,USD,USA,Illinois,Chicago,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Senior material coordinator ,98004.0,USD,USA,Pennsylvania,Pittsburgh ,11 - 20 years,11 - 20 years,Master's degree,Man,White
35-44,Government/Public Administration,Cyber Policy Advisor ,118000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Nonprofits,Lead curator ,130000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Education,Lab Manager (research lab),84000.0,USD,USA,Massachusetts,Cambridge,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Art/Design/Media,UI/UX designer,76000.0,USD,USA,Minnesota,Minneapollis,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Insurance,SeniorActuary,240000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
35-44,,Associate Director of Customer Service,47000.0,USD,USA,Tennessee,Murfreesboro,11 - 20 years,8 - 10 years,,Woman,White
25-34,Nonprofits,Kitchen Coordinator,30000.0,USD,USA,Oregon,Eugene,2 - 4 years,1 year or less,College degree,Woman,White
35-44,Government/Public Administration,Manager,123000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,5 - 7 years,Master's degree,Woman,White
55-64,Sales,System Integrator,76000.0,USD,USA,Georgia,Atlanta,21 - 30 years,11 - 20 years,College degree,Man,White
35-44,Engineering/Manufacturing/Construction,Commercial Property Manager,80000.0,USD,USA,California,Tustin,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Art/Design/Media,Vice President ,230000.0,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
35-44,Computing/IT/Tech,Engineering manager,185000.0,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Medical/Health Care,Behavior Specialist,38480.0,USD,USA,Virginia,Berryville,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Education,Assistant Director,64000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,5 - 7 years,College degree,Woman,White
45-54,Medical/Health Care,MRI Technologist,136000.0,USD,USA,California,Santa Cruz,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Financial analysts ,62000.0,USD,USA,Wisconsin,Appleton ,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Biotechnology/Pharma/Biology,Marketing Director,95000.0,USD,USA,Connecticut,New haven,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Agriculture/Forestry,Agronomy research associate ,36000.0,USD,USA,Montana,Montana ,2 - 4 years,1 year or less,Master's degree,Woman,White
25-34,Computing/IT/Tech,Product Manager,70200.0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman,White
18-24,Medical/Health Care,Optometric Technician,37440.0,USD,USA,Arizona,Chandler,5 - 7 years,2 - 4 years,High School,Woman,White
35-44,Engineering/Manufacturing/Construction,Assistant Customer Service Manager,40000.0,USD,USA,California,Riverside,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education,Director of the Multicultural Center,78000.0,USD,USA,California,Los Angeles,5 - 7 years,5 - 7 years,Master's degree,Woman,Asian or Asian American
25-34,Agriculture/Forestry,Human Resources Advisor,85000.0,USD,USA,Colorado,Loveland,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Art/Design/Media,[radio] Operations Assistant,26500.0,USD,USA,Arizona,Flagstaff,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Financial analyst,75000.0,USD,USA,Wisconsin,Milwaukee,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Others/Not Correctly Specified,"Sr Specialist of Controlling, Compliance & Regulatory Affairs ",59900.0,USD,USA,South Carolina,Greenville ,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Art/Design/Media,Junior Interior Designer,35000.0,USD,USA,Georgia,Savannah,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Director of Customer Marketing,175000.0,USD,USA,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,High School Teacher,50000.0,USD,USA,Ohio,Cleveland,8 - 10 years,5 - 7 years,Master's degree,Woman,White
45-54,Education,Media Specialist,43000.0,USD,USA,Georgia,Atlanta,5 - 7 years,2 - 4 years,Master's degree,Woman,White
35-44,Retail,Partner,99000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Law,General Counsel,165000.0,USD,USA,Maryland,Baltimore,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Other or prefer not to answer,Another option not listed here or prefer not to answer
35-44,Accounting/Banking/Finance,Learning Program Manager,155650.0,USD,USA,California,San Jose,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Medical/Health Care,LPN,52000.0,USD,USA,Massachusetts,North Adams,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Coordinator,48000.0,USD,USA,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Education,Web Engineer,105000.0,USD,USA,New Jersey,Hoboken,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White
25-34,Retail,Store Manager,28000.0,USD,USA,Colorado,Fort Collins,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Agriculture/Forestry,Menu Innovation Manager - Food Scientist,122000.0,USD,USA,California,Orange County,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Transport/Logistics,Office Manager,74000.0,USD,USA,Alaska,south central AK,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Medical/Health Care,Clinical Documentation Specialist,160000.0,USD,USA,California,San Francisco,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Software Engineer 2,99000.0,USD,USA,Texas,Austin,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Senior Training Specialist,70000.0,USD,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Medical/Health Care,Manager,104000.0,USD,USA,Washington,Renton,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
45-54,Government/Public Administration,Attorney,157000.0,USD,USA,California,Ventura,31 - 40 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Biotechnology/Pharma/Biology,Shipper/Receiver,43000.0,USD,USA,Connecticut,Branford,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Biotechnology/Pharma/Biology,Shipper/Receiver,43000.0,USD,USA,Connecticut,Branford,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Government/Public Administration,Program Analyst,88000.0,USD,USA,California,Oakland,8 - 10 years,5 - 7 years,College degree,Man,Asian or Asian American
25-34,Business/Consulting/Administrative Work,Manager of Technical Editing,86250.0,USD,USA,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman,White
45-54,Biotechnology/Pharma/Biology,Associate Medical Director,210000.0,USD,USA,Washington,Seattle,11 - 20 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
35-44,Government/Public Administration,Executive Director,180000.0,USD,USA,Texas,Midland,11 - 20 years,5 - 7 years,College degree,Woman,White
45-54,Government/Public Administration,Program Technician ,45000.0,USD,USA,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Senior Counsel ,165000.0,USD,USA,California,Los Angeles,5 - 7 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Law,Paralegal,57000.0,USD,USA,Oklahoma,Tulsa,11 - 20 years,8 - 10 years,College degree,Woman,White
55-64,Law,HR Director,85500.0,USD,USA,Texas,Dallas,31 - 40 years,5 - 7 years,College degree,Woman,White
18-24,Computing/IT/Tech,Software Engineer,155000.0,USD,USA,California,Mountain View,2 - 4 years,2 - 4 years,College degree,Man,Another option not listed here or prefer not to answer
35-44,Retail,VP Finance and Accounting ,190000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Law,Diversity & Inclusion Manager,140000.0,USD,USA,Illinois,Chicago,11 - 20 years,5 - 7 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Art/Design/Media,Director of research,60000.0,USD,USA,Florida,Jacksonville ,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Teacher,46000.0,USD,USA,Florida,Bradenton,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Engineering/Manufacturing/Construction,Product Team Lead,127000.0,USD,USA,New Mexico,Albuquerque ,5 - 7 years,5 - 7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Business/Consulting/Administrative Work,Librarian 1,54000.0,USD,USA,New York,Delmar ,5 - 7 years,2 - 4 years,Master's degree,Woman,White
45-54,Accounting/Banking/Finance,Staff Accountant,64000.0,USD,USA,New York,Rochester,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Computing/IT/Tech,Client Relationship Manger / Client Success Coach,57000.0,USD,USA,Nebraska,Omaha,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Certified Trainer,29120.0,USD,USA,Ohio,Grove City,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Accounting/Banking/Finance,Assistant Branch Manager,48495.0,USD,USA,Massachusetts,Worcester,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Education,Library Media Specialist,52000.0,USD,USA,New Hampshire,Cheshire County,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Insurance,Assistant director ,132000.0,USD,USA,More than one State,Indianápolis,8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,Nonprofits,Client Relations Coordinator,42500.0,USD,USA,Maryland,Silver Spring,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Business/Consulting/Administrative Work,Senior Editor,90000.0,USD,USA,New York,New York City,11 - 20 years,2 - 4 years,PhD,Woman,White
35-44,Business/Consulting/Administrative Work,Account Manager,72500.0,USD,USA,Illinois,Bannockburn,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Medical/Health Care,Life Sciences,135000.0,USD,USA,Maryland,,8 - 10 years,5 - 7 years,Master's degree,Woman,Black or African American
45-54,,Account management0,52000.0,USD,USA,Illinois,Libertyville,5 - 7 years,5 - 7 years,College degree,Woman,White
18-24,Business/Consulting/Administrative Work,Internet Marketing Specialist ,42000.0,USD,USA,Pennsylvania,"Lancaster, Pa",2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofits,Marketing Coordinator ,42000.0,USD,USA,California,San Diego,11 - 20 years,2 - 4 years,College degree,Woman,White
45-54,Hospitality/Events/Entertainment,Lead Purchasing Agent,39249.0,USD,USA,Tennessee,Crossville,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Project Coordinator,67500.0,USD,USA,Pennsylvania,Royersford,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Computing/IT/Tech, Vendor Manager,125000.0,USD,USA,New Jersey,Ridgefield Park,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Hospitality/Events/Entertainment,Accounts Payable Manager,100000.0,USD,USA,Virginia,Skip,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Senior Software Engineer,147000.0,USD,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Business/Consulting/Administrative Work,Marketing Content Writer,52000.0,USD,USA,Texas,Houston,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Buyer,95000.0,USD,USA,Ohio,Canton,8 - 10 years,8 - 10 years,Master's degree,,White
45-54,Education,Department Administrator,153000.0,USD,USA,Michigan,Ann Arbor,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Document control coordinator,58000.0,USD,USA,Iowa,Ankeny,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Quality Assurance Manager,130000.0,USD,USA,Minnesota,Eden Prairie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Accounting/Banking/Finance,Vp,160000.0,USD,USA,New Jersey,Jersey City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Research compliance manager,70000.0,USD,USA,Rhode Island,Providence ,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Education,Social worker,47500.0,USD,USA,Missouri,St. Louis,5 - 7 years,1 year or less,Master's degree,Woman,White
25-34,Computing/IT/Tech,Incident manager,164000.0,USD,USA,California,San Francisco,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Retail,General Manager,71000.0,USD,USA,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Art/Design/Media,Post-Production Manager,85000.0,USD,USA,Georgia,Atlanta ,5 - 7 years,5 - 7 years,Master's degree,Woman,White
25-34,Government/Public Administration,Supervisory Social Insurance Specialist ,94523.0,USD,USA,California,Richmond,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Medical/Health Care,Senior Data Analyst,105188.0,USD,USA,Minnesota,Minneapolis ,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Medical/Health Care,RN - Nurse Supervisor,86000.0,USD,USA,Pennsylvania,Harrisburg,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,HMIS Administrator ,45000.0,USD,USA,Tennessee,Murfreesboro ,5 - 7 years,1 year or less,Master's degree,Woman,White
35-44,Computing/IT/Tech,Project manager,125000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Government/Public Administration,Analyst,43000.0,USD,USA,Virginia,Tysons,5 - 7 years,2 - 4 years,Master's degree,Woman,White
35-44,Nonprofits,Development Manager,73000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Art/Design/Media,Architect,80000.0,USD,USA,Florida,St. Petersburg ,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Director,100000.0,USD,USA,Texas,Houston,11 - 20 years,5 - 7 years,College degree,Woman,White
45-54,Art/Design/Media,senior associate,100000.0,USD,USA,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing/IT/Tech,Software Developer,220000.0,USD,USA,Wisconsin,Madison,5 - 7 years,5 - 7 years,Master's degree,Man,Asian or Asian American
35-44,Business/Consulting/Administrative Work,Client services director,53000.0,USD,USA,Virginia,Alexandria,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Accounting/Banking/Finance,Head of People Ops,160000.0,USD,USA,Texas,Austin,21 - 30 years,11 - 20 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
35-44,Business/Consulting/Administrative Work,HR Generalist,62500.0,USD,USA,Florida,Tallahassee,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Director of arts ,57000.0,USD,USA,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Retail,Controller,85000.0,USD,USA,Massachusetts,Raynham,31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Biotechnology/Pharma/Biology,"Director, Executive Talent Mgmt",219500.0,USD,USA,Massachusetts,Remote,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Services Manager,130000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Education,Senior Lecturer,73000.0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,PhD,Woman,White
35-44,Computing/IT/Tech,Engineering Manager,119000.0,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Utilities/Telecommunications,Senior Business Analyst,89250.0,USD,USA,North Carolina,Charlotte,11 - 20 years,2 - 4 years,College degree,Man,White
25-34,Sales,Imaging Specalist,55000.0,USD,USA,Pennsylvania,Philadelphia ,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Hospitality/Events/Entertainment,Associate Editor,55000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Solution Consultant ,117000.0,USD,USA,Oregon,Corvallis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofits,Donor Relations Officer,55000.0,USD,USA,Pennsylvania,Philadelphia ,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Transport/Logistics,Air Export Supervisor,65000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,Curriculum Coordinator ,59500.0,USD,USA,Michigan,Dearborn Heights,8 - 10 years,5 - 7 years,Master's degree,Woman,White
35-44,Insurance,Insurance Service Provider,29120.0,USD,USA,Florida,Work from Home,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Law,Supervising Attorney ,62551.0,USD,USA,Wisconsin,Milwaukee ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Business/Consulting/Administrative Work,Director of PEO Human Resources,73500.0,USD,USA,Tennessee,Knoxville,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Transport/Logistics,Import Manager,70000.0,USD,USA,Georgia,Savannah ,11 - 20 years,11 - 20 years,College degree,Woman,White
